"Was beschreibt das Konzept der ""Arithmetic Intensity"" im Kontext von GPU-Rechenlasten?",Das Verhältnis von ausgeführten Rechenoperationen ($FLOPS$) zum erfolgten Datentransfer aus dem Speicher ($Bytes$).
"Warum gilt die ""Prefilling""-Phase bei Transformer-Modellen als ""compute-bound""?","Weil die Berechnungen auf großen Matrizen (viele Tokens gleichzeitig) die Recheneinheiten voll auslasten, bevor die Speicherbandbreite zum limitierenden Faktor wird."
"Welcher Engpass ist primär dafür verantwortlich, dass die ""Decoding""-Phase bei LLMs langsam ist?","Die Speicherbandbreite ($Memory$ $Bandwidth$), da für jeden generierten Token die gesamten Modellgewichte aus dem VRAM geladen werden müssen."
Welche drei übergeordneten Strategien zur Effizienzsteigerung nennt das Roofline-Modell für bandbreitengebundene Aufgaben?,"Weniger Bytes laden (z. B. Quantisierung), mehr Arbeit pro geladenem Byte verrichten (z. B. Batching) und Ladevorgänge mit Berechnungen überlappen."
"Inwiefern unterscheidet sich ""Token Merging"" von ""Token Pruning"" auf der Datenebene?","Merging kombiniert ähnliche Key-Value-Paare zu einem Repräsentanten, während Pruning unwichtige Tokens basierend auf niedrigen Attention-Scores komplett entfernt."
"Was ist das Ziel von ""Prompt Compression""-Verfahren wie LLMLingua?",Die Reduzierung der Eingabetoken-Anzahl durch Entfernen redundanter Informationen unter Verwendung eines kleinen Hilfsmodells.
"Was beschreibt die ""Precision"" eines numerischen Formats im Gegensatz zum ""Dynamic Range""?",Der kleinste darstellbare Abstand zwischen zwei benachbarten Werten innerhalb des Formats.
"Warum erschweren ""Activation Outliers"" die Quantisierung von LLM-Aktivierungen?","Einzelne extrem hohe Werte strecken den Quantisierungsbereich so stark, dass die meisten anderen Werte ihre Präzision verlieren."
"Welches Optimierungsziel verfolgen ""smarte"" Quantisierungsalgorithmen wie GPTQ im Vergleich zur naiven Quantisierung?",Die Minimierung der Abweichung im Output der gesamten Schicht ($min \| XW - XW_{Q} \|^2_F$) statt nur der Differenz der Gewichte.
Welche Rolle spielt die inverse Hesse-Matrix ($H^{-1}$) im GPTQ-Algorithmus?,"Sie dient dazu, den Rundungsfehler eines quantisierten Gewichts durch die Anpassung der verbleibenden Gewichte optimal zu kompensieren."
"Wie reduziert ""FlashAttention"" die Speicherzugriffe während der Attention-Berechnung?","Durch das Aufteilen der Matrizen in kleine Kacheln ($Tiling$), die vollständig im schnellen SRAM verarbeitet werden, ohne Zwischenergebnisse in den HBM zu schreiben."
"Was ist der fundamentale Unterschied zwischen ""Multi-head Attention"" (MHA) und ""Multi-query Attention"" (MQA)?","MQA teilt sich einen einzigen Key- und Value-Kopf für alle Query-Köpfe, was die Größe des KV-Caches massiv reduziert."
"Wie funktioniert ""Grouped Query Attention"" (GQA) als Hybridlösung?","Die Query-Köpfe werden in Gruppen unterteilt, wobei jede Gruppe jeweils einen gemeinsamen Key- und Value-Kopf nutzt."
