#separator:Semicolon
#html:true
"Was beschreibt das Konzept der ""Arithmetic Intensity"" im Kontext von GPU-Rechenlasten?";"Das Verhältnis von ausgeführten Rechenoperationen (<i>FLOPS</i>) zum erfolgten Datentransfer aus dem Speicher (<i>Bytes</i>).<br><br>---<br><b>Erklärung:</b><br>Die Arithmetic Intensity gibt an, wie viele Rechenoperationen pro übertragenem Byte durchgeführt werden. Sie entscheidet im Roofline-Modell darüber, ob eine Aufgabe compute-bound oder memory-bandwidth-bound ist. Eine H100 hat etwa 300 FLOPS pro Byte als Schwelle: Liegt die Intensität darunter, wartet die Recheneinheit auf Daten; liegt sie darüber, wird die volle Rechenleistung genutzt."
"Warum gilt die ""Prefilling""-Phase bei Transformer-Modellen als ""compute-bound""?";"Weil die Berechnungen auf großen Matrizen (viele Tokens gleichzeitig) die Recheneinheiten voll auslasten, bevor die Speicherbandbreite zum limitierenden Faktor wird.<br><br>---<br><b>Erklärung:</b><br>Beim Prefilling werden alle Eingabe-Tokens parallel verarbeitet, was zu großen Matrix-Multiplikationen für Q, K und V führt. Die geladenen Gewichte werden für viele Tokens gleichzeitig wiederverwendet, sodass die arithmetische Intensität hoch ist. Dadurch begrenzen die Tensor Cores die Geschwindigkeit, nicht der Speichertransfer."
"Welcher Engpass ist primär dafür verantwortlich, dass die ""Decoding""-Phase bei LLMs langsam ist?";"Die Speicherbandbreite (<i>Memory Bandwidth</i>), da für jeden generierten Token die gesamten Modellgewichte aus dem VRAM geladen werden müssen.<br><br>---<br><b>Erklärung:</b><br>Beim Decoding wird pro Schritt nur ein einziges neues Token erzeugt, aber dafür muss das gesamte Modell plus der wachsende KV-Cache aus dem HBM geladen werden. Es gibt also wenig Rechenarbeit pro übertragenem Byte, was die arithmetische Intensität niedrig hält. Die Tensor Cores haben FLOPs übrig, während die HBM-Bandbreite voll ausgelastet ist."
"Welche drei übergeordneten Strategien zur Effizienzsteigerung nennt das Roofline-Modell für bandbreitengebundene Aufgaben?";"Weniger Bytes laden (z. B. Quantisierung), mehr Arbeit pro geladenem Byte verrichten (z. B. Batching) und Ladevorgänge mit Berechnungen überlappen.<br><br>---<br><b>Erklärung:</b><br>Die drei Hebel folgen direkt aus der Roofline-Logik. Move Fewer Bytes verkleinert die Datenmenge selbst, etwa durch Quantisierung. Do More Work Per Byte erhöht die Wiederverwendung geladener Daten, etwa durch Batching. Improve Overlap ordnet Speichertransfers und Compute so, dass weder die Bandbreite noch die Recheneinheiten leerlaufen, wie bei FlashAttention."
"Inwiefern unterscheidet sich ""Token Merging"" von ""Token Pruning"" auf der Datenebene?";"Merging kombiniert ähnliche Key-Value-Paare zu einem Repräsentanten, während Pruning unwichtige Tokens basierend auf niedrigen Attention-Scores komplett entfernt.<br><br>---<br><b>Erklärung:</b><br>Token Merging geht davon aus, dass benachbarte oder ähnliche KV-Einträge redundante Information tragen, und fasst sie z.B. durch Mittelung von K und gewichtete Mittelung von V zusammen. Token Pruning hingegen nutzt die Erkenntnis, dass Attention spärlich ist: Tokens, die in früheren Schichten kaum Aufmerksamkeit erhalten, werden für den Rest des Forward-Pass weggelassen."
"Was ist das Ziel von ""Prompt Compression""-Verfahren wie LLMLingua?";"Die Reduzierung der Eingabetoken-Anzahl durch Entfernen redundanter Informationen unter Verwendung eines kleinen Hilfsmodells.<br><br>---<br><b>Erklärung:</b><br>Natürliche Sprache ist redundant und der Informationsgehalt einzelner Tokens variiert stark. Ein kleines Sprachmodell bewertet Tokens etwa anhand ihrer Perplexität oder einer BERT-Klassifikation und verwirft die unwichtigsten. So bleibt der Nutzen des Prompts erhalten, aber das Hauptmodell verarbeitet weniger Tokens, was Speicher und Bandbreite spart."
"Was beschreibt die ""Precision"" eines numerischen Formats im Gegensatz zum ""Dynamic Range""?";"Der kleinste darstellbare Abstand zwischen zwei benachbarten Werten innerhalb des Formats.<br><br>---<br><b>Erklärung:</b><br>Precision wird durch die Mantisse bestimmt und gibt die Feinheit der Auflösung an, während der Dynamic Range vom Exponenten abhängt und den abdeckbaren Wertebereich beschreibt. FP16 z.B. hat 5 Bit Exponent und 10 Bit Mantisse - viel Range, mittlere Präzision. Das Format ist also stets ein Kompromiss zwischen Präzision, Reichweite und Speicherbedarf."
"Warum erschweren ""Activation Outliers"" die Quantisierung von LLM-Aktivierungen?";"Einzelne extrem hohe Werte strecken den Quantisierungsbereich so stark, dass die meisten anderen Werte ihre Präzision verlieren.<br><br>---<br><b>Erklärung:</b><br>Naive Quantisierung skaliert den gesamten Wertebereich auf das Zielintervall (z.B. INT8). Ist ein einzelner Ausreißer um Größenordnungen höher als der Rest, dehnt er den Skalierungsfaktor so stark, dass die häufigen kleinen Werte alle in dieselben wenigen Quantisierungsstufen oder gar auf 0 abgebildet werden. Smarte Algorithmen isolieren oder glätten daher Outliers, statt sie linear mitzuskalieren."
"Welches Optimierungsziel verfolgen ""smarte"" Quantisierungsalgorithmen wie GPTQ im Vergleich zur naiven Quantisierung?";"Die Minimierung der Abweichung im Output der gesamten Schicht (\(\min \| XW - XW_Q \|^2_F\)) statt nur der Differenz der Gewichte.<br><br>---<br><b>Erklärung:</b><br>Naive Quantisierung minimiert die elementweise Distanz zwischen Originalgewichten und quantisierten Gewichten. Diese Metrik ignoriert aber, dass nicht alle Gewichte gleich stark in die Schicht-Ausgabe eingehen. GPTQ verwendet daher Kalibrationsdaten X und minimiert direkt den Output-Fehler, sodass salient weights mit mehr Präzision behandelt werden und das Bit-Budget dort konzentriert wird, wo Fehler am meisten schmerzen."
"Welche Rolle spielt die inverse Hesse-Matrix (\(H^{-1}\)) im GPTQ-Algorithmus?";"Sie dient dazu, den Rundungsfehler eines quantisierten Gewichts durch die Anpassung der verbleibenden Gewichte optimal zu kompensieren.<br><br>---<br><b>Erklärung:</b><br>Die Hesse-Matrix beschreibt die Krümmung der Loss-Funktion und damit die Kopplung zwischen Gewichten. Ihre Inverse zeigt, wie stark sich Gewicht j optimal verschieben muss, wenn Gewicht i gestört wird, um den Loss minimal zu halten. GPTQ wandelt den Rundungsfehler eines Gewichts in eine Kompensationskraft um und verteilt diese über die Off-Diagonalen von \(H^{-1}\) auf die noch nicht quantisierten Gewichte."
"Wie reduziert ""FlashAttention"" die Speicherzugriffe während der Attention-Berechnung?";"Durch das Aufteilen der Matrizen in kleine Kacheln (<i>Tiling</i>), die vollständig im schnellen SRAM verarbeitet werden, ohne Zwischenergebnisse in den HBM zu schreiben.<br><br>---<br><b>Erklärung:</b><br>Klassische Attention berechnet S = QK<sup>T</sup>, dann P = softmax(S) und schließlich O = PV; jeder Schritt erzeugt eine HBM-Schreib- und Lese-Operation. FlashAttention zerlegt Q, K und V in kleine Blöcke, hält die Zwischenwerte (Maxima, Summen, Output) im SRAM und aktualisiert sie online. Erst das fertige O wird einmalig zurück in den HBM geschrieben."
"Was ist der fundamentale Unterschied zwischen ""Multi-head Attention"" (MHA) und ""Multi-query Attention"" (MQA)?";"MQA teilt sich einen einzigen Key- und Value-Kopf für alle Query-Köpfe, was die Größe des KV-Caches massiv reduziert.<br><br>---<br><b>Erklärung:</b><br>In MHA besitzt jeder der h Query-Köpfe eigene K- und V-Projektionen, was redundante Information zwischen den Köpfen erzeugt. MQA behält die h Query-Köpfe, lässt sie aber alle dasselbe einzelne K und V verwenden. Das schrumpft den KV-Cache um den Faktor h und entlastet die Bandbreite, kostet aber spürbar Modellqualität."
"Wie funktioniert ""Grouped Query Attention"" (GQA) als Hybridlösung?";"Die Query-Köpfe werden in Gruppen unterteilt, wobei jede Gruppe jeweils einen gemeinsamen Key- und Value-Kopf nutzt.<br><br>---<br><b>Erklärung:</b><br>GQA erkennt, dass MQAs vollständige Teilung zu aggressiv ist, MHAs Trennung pro Kopf aber übertrieben. Die h Query-Köpfe werden in g Gruppen aufgeteilt, jede Gruppe teilt sich ein K/V-Paar. Der Cache schrumpft dadurch um den Faktor h/g, und man erreicht eine Qualität nahe MHA bei Kosten nahe MQA."
"Was ist die Kernidee der ""Multi-head Latent Attention"" (MLA)?";"Die Tokens werden in einen niedrigdimensionalen latenten Vektor komprimiert und erst zur Berechnungszeit wieder in Keys und Values expandiert.<br><br>---<br><b>Erklärung:</b><br>Statt K und V direkt zu cachen, projizieren MLA-Schichten jeden Token in einen geteilten latenten Vektor c und speichern nur diesen. Zur Attention-Zeit werden K und V pro Kopf durch gelernte Projektionen aus c rekonstruiert; diese Projektionen lassen sich in die Q-Matrix einfalten. Der KV-Cache wird so 10-20x kleiner als bei MHA bei oft besserer Qualität."
"Welches Problem bei der Verwaltung des KV-Caches löst der Ansatz von ""PagedAttention""?";"Die Speicherfragmentierung durch die Zuweisung von festen, nicht-kontinuierlichen Speicherblöcken, ähnlich der virtuellen Speicherverwaltung in Betriebssystemen.<br><br>---<br><b>Erklärung:</b><br>Naive Allokation reserviert pro Anfrage die maximale Sequenzlänge im KV-Cache, was Speicher verschwendet. Reserviert man dagegen nur das Nötige, entstehen durch parallele Anfragen mit unterschiedlichen Laufzeiten unregelmäßig große Lücken. PagedAttention fragmentiert bewusst in feste, kleine Blöcke und verwaltet sie über Seitentabellen, ähnlich wie virtueller Speicher in einem Betriebssystem."
"Auf welcher grundlegenden Erkenntnis basiert das Verfahren des ""Speculative Decoding""?";"Dass die parallele Verifizierung mehrerer Tokens durch ein großes Modell fast genauso viel Zeit kostet wie die sequentielle Generierung eines einzelnen Tokens.<br><br>---<br><b>Erklärung:</b><br>Da das Decoding bandbreitengebunden ist, dominiert das Laden der Gewichte und das Verifizieren von k Tokens benötigt fast denselben Forward-Pass wie das Generieren eines einzigen. Ein kleines Draft-Modell schlägt daher autoregressiv k Tokens vor, die das Zielmodell in einem einzigen Forward-Pass parallel prüft. Bei der ersten Ablehnung wird zurückgesetzt und neu gesampelt, ohne Qualitätsverlust."
"Inwiefern verbessert das ""Medusa""-Framework das klassische Speculative Decoding?";"Es nutzt mehrere zusätzliche Vorhersageköpfe auf dem Originalmodell selbst, anstatt ein separates, externes Draft-Modell zu benötigen.<br><br>---<br><b>Erklärung:</b><br>Ein separates Draft-Modell verursacht zusätzlichen Wartungsaufwand und Komplexität. Medusa setzt stattdessen k leichte Vorhersageköpfe auf das Zielmodell auf, jeder trainiert auf Position +1, +2, …, +k aus demselben Hidden State. Ein einziger Forward-Pass liefert k Spekulationskandidaten, und Tree-Attention verifiziert mehrere mögliche Fortsetzungen gleichzeitig."
